Title;Company;Location;Date;Link
Data & Business Intelligence Analyst;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 7 dias;https://pt.linkedin.com/jobs/view/data-business-intelligence-analyst-at-bnp-paribas-cib-2638643922?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=M62E%2F%2FFh5UdXpxVwiwfRBQ%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
Big Data Analyst (Lisbon);KCS iT;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/big-data-analyst-lisbon-at-kcs-it-2720316762?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=LjthWbWdA7DbOSPIEhfq1w%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
Anúncio de emprego: KINDAHOME - Junior Data Analyst - Lisboa;KINDA HOME PORTUGAL S.A.;Lisboa, Lisboa, Portugal;Há 3 meses;https://pt.linkedin.com/jobs/view/an%C3%BAncio-de-emprego-kindahome-junior-data-analyst-lisboa-at-kinda-home-portugal-s-a-2664948672?refId=aUSUkSIM9wH6Q0%2BIgEJVQw%3D%3D&trackingId=LyTZMYdCtAikLxH7k7BvoA%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Analyst Developer (m/f);Noesis;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/data-analyst-developer-m-f-at-noesis-2700131751?refId=aUSUkSIM9wH6Q0%2BIgEJVQw%3D%3D&trackingId=DQ8dnKKbayyyTcXj2MT6pA%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
Data & Analytic Expert;Nestlé;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/data-analytic-expert-at-nestl%C3%A9-2714193242?refId=aUSUkSIM9wH6Q0%2BIgEJVQw%3D%3D&trackingId=6QSVyo%2BvAxanZyAeYdDogw%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
Investment Data Analyst;Michael Page;Lisboa, Lisboa, Portugal;Há 3 meses;https://pt.linkedin.com/jobs/view/investment-data-analyst-at-michael-page-2662180606?refId=aUSUkSIM9wH6Q0%2BIgEJVQw%3D%3D&trackingId=0lojxwcFF%2FW4gLPWBkdNPg%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Engineering Analyst;Hiscox;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-engineering-analyst-at-hiscox-2701080571?refId=aUSUkSIM9wH6Q0%2BIgEJVQw%3D%3D&trackingId=YbAGSOqhHHKvUhblB84mcw%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
Business Data Consultant & Data Analyst;Keyrus;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/business-data-consultant-data-analyst-at-keyrus-2711288407?refId=aUSUkSIM9wH6Q0%2BIgEJVQw%3D%3D&trackingId=8M6Y3iIjt8K78d2EPshU9A%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
Big Data Analyst;KCS iT;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/big-data-analyst-at-kcs-it-2700255781?refId=aUSUkSIM9wH6Q0%2BIgEJVQw%3D%3D&trackingId=G0%2BZTHdkwStixm4Y5ghz1Q%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
Junior Data Engineer;Santander Portugal;Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/junior-data-engineer-at-santander-portugal-2702305466?refId=aUSUkSIM9wH6Q0%2BIgEJVQw%3D%3D&trackingId=o5y6ulReG3AbRqZjblm7dQ%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
Analista de Dados - Telecomunicações;EGOR;Lisboa, Lisboa, Portugal;Há 3 dias;https://pt.linkedin.com/jobs/view/analista-de-dados-telecomunica%C3%A7%C3%B5es-at-egor-2721268319?refId=aUSUkSIM9wH6Q0%2BIgEJVQw%3D%3D&trackingId=iOB4fOaOyMFCbJRFEhzBkg%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
CTM Data Quality Analyst;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 4 dias;https://pt.linkedin.com/jobs/view/ctm-data-quality-analyst-at-bnp-paribas-cib-2719105551?refId=aUSUkSIM9wH6Q0%2BIgEJVQw%3D%3D&trackingId=s4XgtAVrQ1T7MlpyF%2BDreA%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
Credit Risk Data Analyst;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/credit-risk-data-analyst-at-bnp-paribas-cib-2710151880?refId=aUSUkSIM9wH6Q0%2BIgEJVQw%3D%3D&trackingId=ozPk95uxql5xuTI7BspJlg%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
Business Data Analyst – European Marketing Organisation;Tech Data;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/business-data-analyst-%E2%80%93-european-marketing-organisation-at-tech-data-2658830163?refId=aUSUkSIM9wH6Q0%2BIgEJVQw%3D%3D&trackingId=ADKAGWf6FA3vfDXNTH7rMQ%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
Master Data Governance Analyst;ConvaTec;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/master-data-governance-analyst-at-convatec-2682143781?refId=aUSUkSIM9wH6Q0%2BIgEJVQw%3D%3D&trackingId=wkwNch%2F9QWJDjr%2F8hcR%2BGA%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
Corporate Reporting & Data Quality Analyst;Hiscox;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/corporate-reporting-data-quality-analyst-at-hiscox-2683950460?refId=aUSUkSIM9wH6Q0%2BIgEJVQw%3D%3D&trackingId=vckTf7cX%2BLCkHruEog5oQg%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
Anúncio de emprego: Big Data Analyst;KCS iT;Lisboa, Lisboa, Portugal;Há 3 meses;https://pt.linkedin.com/jobs/view/an%C3%BAncio-de-emprego-big-data-analyst-at-kcs-it-2664956620?refId=aUSUkSIM9wH6Q0%2BIgEJVQw%3D%3D&trackingId=F99uo0bfBg2%2FUpeJ90ViTQ%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
